filename,category,tags
shirt_white_formal.jpeg,Shirt,"[""['formal'"", ""'white'"", ""'summer'"", ""'office']""]"
shirt_black_casual.jpg,Shirt,"[""['casual'"", ""'black'"", ""'summer'"", ""'relaxed']""]"
shirt_blue_dress.jpg,Shirt,"[""['formal'"", ""'blue'"", ""'business'"", ""'all-season']""]"
shirt_red_flannel.jpeg,Shirt,"[""['casual'"", ""'red'"", ""'winter'"", ""'checkered'"", ""'box']""]"
hoodie_grey.jpg,Shirt,"[""['casual'"", ""'grey'"", ""'winter'"", ""'hoodie'"", ""'cozy']""]"
shirt_graphic_t-shirt.jpg,Shirt,"[""['casual'"", ""'printed'"", ""'summer'"", ""'street']""]"
pant_black_formal.jpeg,Pants,"[""['formal'"", ""'black'"", ""'all-season'"", ""'office']""]"
pant_blue_jeans.jpg,Pants,"[""['casual'"", ""'blue'"", ""'all-season'"", ""'denim']""]"
pant_beige_chinos.png,Pants,"[""['semi-formal'"", ""'beige'"", ""'summer'"", ""'light']""]"
pant_khaki_shorts.jpeg,Pants,"[""['casual'"", ""'khaki'"", ""'summer'"", ""'beachwear']""]"
pant_black_joggers.png,Pants,"[""['casual'"", ""'black'"", ""'sporty'"", ""'street']""]"
shoes_black_formal.png,Shoes,"[""['formal'"", ""'black'"", ""'business'"", ""'office']""]"
shoes_white_sneakers.jpeg,Shoes,"[""['casual'"", ""'white'"", ""'street'"", ""'all-season']""]"
shoes_brown_boots.png,Shoes,"[""['casual'"", ""'brown'"", ""'winter'"", ""'rugged']""]"
loafers.png,Shoes,"[""['semi-formal'"", ""'casual'"", ""'comfortable'"", ""'brown']""]"
black_loafers.jpg,Shoes,"[""['loafers'"", ""'casual'"", ""'black']""]"
green t-shirt.jpg,Shirt,"['green', 'summer', 'casual']"
dd093410-c351-4e0b-8e0c-45e239b8727a.png,Shirt,"['blue', 'summer', 'casual']"
black jeans.jpeg,Pants,"['black', 'jeans', 'summer']"
brown shoes.png,Shoes,"['brown', 'dress', 'bussiness']"
